MedicineCode,MedicineName,ScientificName,Alias,AliasPyCode,AliasWbCode,WbCode,PyCode,DefaultDosage,DosageQty,DosageUnit,Unit,Price,BigPackPrice,BigPackUnit,SmallPackPrice,SmallPackUnit,ChildrenPrice,FixPrice,RetPrice,InsuranceCode,InsurancePayRate,FactoryCode,Weight,WeightUnit,Volume,VolumeUnit,Remark,IsSkinTest,IsCompound,IsDrunk,ToxicLevel,IsHighRisk,IsRefrigerated,IsTumour,AntibioticLevel,IsPrecious,IsInsulin,IsAnaleptic,IsAllergyTest,IsLimited,LimitedNote,Specification,DosageForm,IsActive,IsFirstAid,PharmacyCode,PharmacyName,AntibioticPermission,PrescriptionPermission,BaseFlag,FrequencyCode,FrequencyName,UsageCode,UsageName,ExecDeptCode,Unpack,BigPackFactor,ExecDeptName,FactoryName,InsuranceTypem,MedicineProperty,SmallPackFactor,QTY,MeducalInsuranceCode
574,甲钴胺注射液,NULL,NULL,NULL,NULL,XSWQ(G),JGAZ(17),0.5,0.5,mg,支,12.771,NULL,支,NULL,支,NULL,0,127.71,NULL,乙,776,0.5,mg,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0.5mg/支,注射剂,1,0,1,西药房,NULL,NULL,2,NULL,NULL,2,肌注,1,0,1,西药房,卫材（中国）药业有限公司,NULL,1,10,27,XB03BAJ038B002010601693
574,甲钴胺注射液,NULL,NULL,NULL,NULL,XSWQ(G),JGAZ(17),0.5,0.5,mg,支,12.771,NULL,支,NULL,支,NULL,0,127.71,NULL,乙,776,0.5,mg,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0.5mg/支,注射剂,1,0,1,西药房,NULL,NULL,2,NULL,NULL,2,肌注,1,0,1,西药房,卫材（中国）药业有限公司,NULL,1,10,400,XB03BAJ038B002010601693
657,司坦唑醇片,NULL,NULL,NULL,NULL,NFKS,STZCP(15,2,2,mg,盒,31.29,NULL,盒,NULL,片,NULL,0,31.29,NULL,乙,361,2,mg,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,2mg/片*24片/盒,片剂,1,0,1,西药房,NULL,NULL,6,NULL,NULL,NULL,NULL,1,0,24,西药房,广西南宁百会药业集团有限公司,NULL,1,24,18,XA14AAS175A001010105122
711,★比索洛尔片,NULL,NULL,NULL,NULL,YST,BSLEP(K,5,5,mg,盒,26.57,NULL,盒,NULL,粒,NULL,0,26.57,NULL,甲,2638,5,mg,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,5mg/片*10片/盒,片剂,1,0,1,西药房,NULL,NULL,1,NULL,NULL,1,口服,1,0,10,西药房,德国默克公司,NULL,1,10,387.03,XC07ABB087A001020181152
741,异丙肾上腺素注射液,NULL,NULL,NULL,NULL,NGJHEGQ(,YBSSXSZ2,1,1,mg,支,39.6,NULL,支,NULL,支,NULL,2.47,79.2,NULL,甲,672,1,mg,NULL,NULL,NULL,0,NULL,0,0,1,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,1mg/支,注射剂,1,0,1,西药房,NULL,NULL,1,NULL,NULL,3,静滴,1,0,1,西药房,上海禾丰制药有限公司,NULL,1,2,18,XC01CAY138B002010100673
795,谷维素片,NULL,NULL,NULL,NULL,WXGT,GWSP(F16,10,10,mg,瓶,18.08,NULL,瓶,NULL,片,NULL,0,18.08,NULL,乙,170,10,mg,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,10mg/片*100片/瓶,片剂,1,0,1,西药房,NULL,NULL,2,NULL,NULL,1,口服,1,0,100,西药房,广东恒健制药有限公司,NULL,1,100,114,XN07XXG107A001010100443
873,卡替洛尔滴眼液,NULL,NULL,NULL,NULL,UGYIHI,KTLEDYY1,5,5,ml,支,20.74,NULL,支,NULL,支,NULL,0,20.74,NULL,乙,471,5,ml,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,5ml/支,滴眼剂,1,0,1,西药房,NULL,NULL,6,NULL,NULL,17,滴眼,1,0,1,西药房,中国大冢制药有限公司,NULL,1,1,58,XS01EDK027G010010100967
877,碳酸锂片,NULL,NULL,NULL,NULL,DSQT,TSLPYF16,0.25,0.25,g,瓶,23.4,NULL,瓶,NULL,片,NULL,0,23.4,NULL,甲,370,0.25,g,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0.25g/片*100片/瓶,片剂,1,0,1,西药房,NULL,NULL,1,NULL,NULL,NULL,NULL,1,0,100,西药房,湖南湘中制药有限公司,NULL,1,100,34,XN05ANT017A001010204971
889,氯霉素滴眼液,NULL,NULL,NULL,NULL,RFG,LMSDYY20,8,8,ml,瓶,6.08,NULL,瓶,NULL,瓶,NULL,0,6.08,NULL,甲,1611,8,ml,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,8ml/瓶,滴眼剂,1,0,1,西药房,NULL,NULL,1,NULL,NULL,17,滴眼,1,0,1,西药房,邯郸康业制药有限公司,NULL,1,1,64,XS01AAL232G010010102585
901,★阿替卡因肾上腺素注射液,NULL,NULL,NULL,NULL,GUYQ(F03,ATKYSSX,1.7,1.7,ml,支,7,NULL,支,NULL,支,NULL,0,350,NULL,乙,250,1.7,ml,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,1.7ml/支,注射剂,1,0,1,西药房,NULL,NULL,6,NULL,NULL,39,局麻,1,0,1,西药房,法国碧兰公司,NULL,1,50,1050,XN01BBA064B002010178765
901,★阿替卡因肾上腺素注射液,NULL,NULL,NULL,NULL,GUYQ(F03,ATKYSSX,1.7,1.7,ml,支,7,NULL,支,NULL,支,NULL,0,350,NULL,乙,250,1.7,ml,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,1.7ml/支,注射剂,1,0,1,西药房,NULL,NULL,6,NULL,NULL,39,局麻,1,0,1,西药房,法国碧兰公司,NULL,1,50,2606,XN01BBA064B002010178765
927,酮替芬片,NULL,NULL,NULL,NULL,SFST,FMSTTFP(,1,1,mg,包,0.81,NULL,包,NULL,片,NULL,0,8.1,NULL,乙,255,1,mg,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,1mg/片*6片/包,片剂,1,0,1,西药房,NULL,NULL,2,NULL,NULL,1,口服,1,0,6,西药房,江苏鹏鹞药业有限公司,NULL,1,60,5,XR06AXT061A001010101470
927,酮替芬片,NULL,NULL,NULL,NULL,SFST,FMSTTFP(,1,1,mg,包,0.81,NULL,包,NULL,片,NULL,0,8.1,NULL,乙,255,1,mg,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,1mg/片*6片/包,片剂,1,0,1,西药房,NULL,NULL,2,NULL,NULL,1,口服,1,0,6,西药房,江苏鹏鹞药业有限公司,NULL,1,60,838,XR06AXT061A001010101470
931,卡左双多巴缓释片,NULL,NULL,NULL,NULL,TPRTT(F0,KZSDBHSP,0.25,0.25,g,盒,49.7,NULL,盒,NULL,片,NULL,0,49.7,NULL,乙,1406,0.25,g,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0.25g/片*30片/盒,片剂,1,0,1,西药房,NULL,NULL,6,NULL,NULL,1,口服,1,0,30,西药房,杭州默沙东制药有限公司,NULL,1,30,68,XN04BAK135A010010104495
1045,★氧氟沙星滴眼液,NULL,NULL,NULL,NULL,DTNEIHI(,YFSXDYY,5,5,ml,支,17.12,NULL,支,NULL,支,NULL,0,17.12,NULL,乙,357,5,ml,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,5ml/支,滴眼剂,1,0,1,西药房,NULL,NULL,2,NULL,NULL,17,滴眼,1,0,1,西药房,参天制药(中国)有限公司,NULL,1,1,314,XS01AEY040G010010109591
1215,沙利度胺片,NULL,NULL,NULL,NULL,RYWT(F03,SLDAP(17,25,25,mg,盒,38,NULL,盒,NULL,片,NULL,0,38,NULL,乙,738,25,mg,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,25mg/片*20片/盒,片剂,1,0,1,西药房,NULL,NULL,6,NULL,NULL,1,口服,1,0,20,西药房,常州制药厂有限公司,NULL,1,20,115,XL04AXS052A001010201397
1295,哌替啶注射液,NULL,NULL,NULL,NULL,YUSQ,PTDZ(DLD,100,100,mg,支,2.95,NULL,支,NULL,支,NULL,0,2.95,NULL,甲,1946,100,mg,NULL,NULL,NULL,0,NULL,1,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,100mg/支,注射剂,1,0,1,西药房,NULL,NULL,1,NULL,NULL,2,肌注,1,0,1,西药房,宜昌人福药业有限责任公司,NULL,1,1,8,XN02ABP022B002010202000
1296,芬太尼注射液,NULL,NULL,NULL,NULL,ADNQ,FTNZ(2ml,0.1,0.1,mg,支,4.2,NULL,支,NULL,支,NULL,0,4.2,NULL,甲,1991,0.1,mg,NULL,NULL,NULL,0,NULL,1,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0.1mg/支,注射剂,1,0,1,西药房,NULL,NULL,1,NULL,NULL,7,静注,1,0,1,西药房,宜昌人福药业有限责任公司,NULL,1,1,6,XN01AHF027B002010202000
1373,山莨菪碱片（654-2）,NULL,NULL,NULL,NULL,MAA,SLDJPY65,5,5,mg,包,1.5,NULL,包,NULL,片,NULL,0,15,NULL,乙,753,5,mg,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,5mg/片*10片/包,片剂,1,0,1,西药房,NULL,NULL,1,NULL,NULL,1,口服,1,0,10,西药房,杭州民生药业有限公司,NULL,1,100,436,XA03BAX232A001020104494
1493,★硫唑嘌呤片,NULL,NULL,NULL,NULL,DKK,LZPLP(16,50,50,mg,板,50.5975,NULL,板,NULL,片,NULL,0,202.39,NULL,甲,3059,50,mg,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,50mg*25片/板,片剂,1,0,1,西药房,NULL,NULL,1,NULL,NULL,1,口服,1,0,25,西药房,德国ExcellaGmbH,NULL,1,100,117,XL04AXL155A001010179443
1504,亚甲蓝注射液,NULL,NULL,NULL,NULL,GLAQ(RS),YJLZSY2m,20,20,mg,支,12.18,NULL,支,NULL,支,NULL,0,60.9,NULL,甲,1180,20,mg,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,20mg/支,注射液,1,0,1,西药房,NULL,NULL,1,NULL,NULL,58,静脉推注,1,0,1,西药房,江苏济川制药有限公司,NULL,1,5,8,XV03ABY003B002010101453
1504,亚甲蓝注射液,NULL,NULL,NULL,NULL,GLAQ(RS),YJLZSY2m,20,20,mg,支,12.18,NULL,支,NULL,支,NULL,0,60.9,NULL,甲,1180,20,mg,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,20mg/支,注射液,1,0,1,西药房,NULL,NULL,1,NULL,NULL,58,静脉推注,1,0,1,西药房,江苏济川制药有限公司,NULL,1,5,10,XV03ABY003B002010101453
1982,华法林钠片,NULL,NULL,NULL,NULL,WISQT(RS,HFLP(17T,3,3,mg,片,0.46,NULL,片,NULL,片,NULL,0,46,NULL,甲,1072,3,mg,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,3mg/片,片剂,1,0,1,西药房,NULL,NULL,1,NULL,NULL,1,口服,1,0,1,西药房,芬兰奥立安药厂,NULL,1,100,2441,XB01AAH029A001010178700
1982,华法林钠片,NULL,NULL,NULL,NULL,WISQT(RS,HFLP(17T,3,3,mg,片,0.46,NULL,片,NULL,片,NULL,0,46,NULL,甲,1072,3,mg,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,3mg/片,片剂,1,0,1,西药房,NULL,NULL,1,NULL,NULL,1,口服,1,0,1,西药房,芬兰奥立安药厂,NULL,1,100,5000,XB01AAH029A001010178700
2107,去氨加压素片,NULL,NULL,NULL,NULL,XUT(GUN),QAJYSP(M,0.1,0.1,mg,盒,161.29,NULL,盒,NULL,片,NULL,0,161.29,NULL,甲,771,0.1,mg,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0.1mg/片*30片/盒,片剂,1,0,1,西药房,NULL,NULL,1,NULL,NULL,1,口服,1,0,30,西药房,辉凌（瑞典）制药有限公司,NULL,1,30,16,XH01BAQ117A001010178422
2107,去氨加压素片,NULL,NULL,NULL,NULL,XUT(GUN),QAJYSP(M,0.1,0.1,mg,盒,161.29,NULL,盒,NULL,片,NULL,0,161.29,NULL,甲,771,0.1,mg,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0.1mg/片*30片/盒,片剂,1,0,1,西药房,NULL,NULL,1,NULL,NULL,1,口服,1,0,30,西药房,辉凌（瑞典）制药有限公司,NULL,1,30,24,XH01BAQ117A001010178422
2136,呋塞米片,NULL,NULL,NULL,NULL,GNT,FSMP(17),20,20,mg,片,0.155,NULL,片,NULL,片,NULL,0,15.5,NULL,甲,2471,20,mg,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,20mg/片*100片/瓶,片剂,1,0,1,西药房,NULL,NULL,1,NULL,NULL,1,口服,1,0,1,西药房,上海朝晖药业有限公司,NULL,1,100,3445,XC03CAF056A001010100665
2432,熊去氧胆酸胶囊,NULL,NULL,NULL,NULL,WLXEG(RS,XQYDSJN(,250,250,mg,盒,210.2,NULL,盒,NULL,粒,NULL,0,210.2,NULL,甲,885,250,mg,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,250mg/粒*25粒/盒,胶囊剂,1,0,1,西药房,NULL,NULL,6,NULL,NULL,1,口服,1,0,25,西药房,德国福克制药有限公司,NULL,1,25,204,XA05AAX163E001010178373
2647,碘甘油,NULL,NULL,NULL,NULL,DAI(F03),DGY1%(09,20,20,ml,瓶,8.5,NULL,瓶,NULL,瓶,NULL,0,8.5,NULL,自费,335,20,ml,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,20ml/瓶,其它,1,0,1,西药房,NULL,NULL,6,NULL,NULL,145,涂患处,1,0,1,西药房,上海运佳黄浦制药有限公司,NULL,1,1,15,XD08AGD105S004010100830
2672,丙酸氟替卡松鼻喷雾剂,NULL,NULL,NULL,NULL,LWY(RS),BSFTKSBP,6,6,mg,支,66.55,NULL,支,NULL,瓶,NULL,0,66.55,NULL,乙,2644,6,mg,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,50ug/喷*120喷/支,气雾剂,1,0,1,西药房,NULL,NULL,1,NULL,NULL,76,喷鼻 ,1,0,1,西药房,澳大利亚葛兰素史克公司,NULL,1,1,328,XR01ADF095L025010178477
2761,叶酸片,NULL,NULL,NULL,NULL,KST(RS),YSP(16)E,5,5,mg,瓶,11.9,NULL,瓶,NULL,片,NULL,0,11.9,NULL,甲,492,5,mg,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,5mg/片*100片/瓶,片剂,1,0,1,西药房,NULL,NULL,1,NULL,NULL,1,口服,1,0,100,西药房,天津力生制药股份有限公司,NULL,1,100,364,XB03BBY050A001020100886
2790,葡萄糖注射液(5%),NULL,NULL,NULL,NULL,GS5R5,PTTZ(5%),500,500,ml,袋,3.6,NULL,袋,NULL,袋,NULL,0,3.6,NULL,甲,172,500,ml,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,500ml/袋,注射剂,1,0,1,西药房,NULL,NULL,1,NULL,NULL,3,静滴,1,0,1,西药房,四川科伦药业股份有限公司,NULL,1,1,10,XB05BBP072B002120302180
2790,葡萄糖注射液(5%),NULL,NULL,NULL,NULL,GS5R5,PTTZ(5%),500,500,ml,袋,3.6,NULL,袋,NULL,袋,NULL,0,3.6,NULL,甲,172,500,ml,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,500ml/袋,注射剂,1,0,1,西药房,NULL,NULL,1,NULL,NULL,3,静滴,1,0,1,西药房,四川科伦药业股份有限公司,NULL,1,1,20,XB05BBP072B002120302180
2790,葡萄糖注射液(5%),NULL,NULL,NULL,NULL,GS5R5,PTTZ(5%),500,500,ml,袋,3.6,NULL,袋,NULL,袋,NULL,0,3.6,NULL,甲,172,500,ml,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,500ml/袋,注射剂,1,0,1,西药房,NULL,NULL,1,NULL,NULL,3,静滴,1,0,1,西药房,四川科伦药业股份有限公司,NULL,1,1,100,XB05BBP072B002120302180
2790,葡萄糖注射液(5%),NULL,NULL,NULL,NULL,GS5R5,PTTZ(5%),500,500,ml,袋,3.6,NULL,袋,NULL,袋,NULL,0,3.6,NULL,甲,172,500,ml,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,500ml/袋,注射剂,1,0,1,西药房,NULL,NULL,1,NULL,NULL,3,静滴,1,0,1,西药房,四川科伦药业股份有限公司,NULL,1,1,180,XB05BBP072B002120302180
2790,葡萄糖注射液(5%),NULL,NULL,NULL,NULL,GS5R5,PTTZ(5%),500,500,ml,袋,3.6,NULL,袋,NULL,袋,NULL,0,3.6,NULL,甲,172,500,ml,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,500ml/袋,注射剂,1,0,1,西药房,NULL,NULL,1,NULL,NULL,3,静滴,1,0,1,西药房,四川科伦药业股份有限公司,NULL,1,1,520,XB05BBP072B002120302180
2924,硼酸洗液,NULL,NULL,NULL,NULL,DSII(F03,PSXY7.5g,250,250,ml,瓶,8,NULL,瓶,NULL,瓶,NULL,4.025,8,NULL,乙,1298,250,ml,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,250ml/瓶,外用液体剂,1,0,1,西药房,NULL,NULL,2,NULL,NULL,143,冲洗患处,1,0,1,西药房,上海运佳黄埔制药有限公司,NULL,1,1,7,XD08ADP041S001020100830
2924,硼酸洗液,NULL,NULL,NULL,NULL,DSII(F03,PSXY7.5g,250,250,ml,瓶,8,NULL,瓶,NULL,瓶,NULL,4.025,8,NULL,乙,1298,250,ml,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,250ml/瓶,外用液体剂,1,0,1,西药房,NULL,NULL,2,NULL,NULL,143,冲洗患处,1,0,1,西药房,上海运佳黄埔制药有限公司,NULL,1,1,120,XD08ADP041S001020100830
2951,★注射用吡柔比星,NULL,NULL,NULL,NULL,KCXJQ(F0,BRBXZ(1,10,10,mg,支,136.92,NULL,支,NULL,瓶,NULL,171.85,136.92,NULL,乙,58,10,mg,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,10mg/支,粉针剂,1,0,1,西药房,NULL,NULL,2,NULL,NULL,3,静滴,1,0,1,西药房,深圳万乐药业有限公司,NULL,1,1,112,XL01DBB104B014010100549
2978,他莫昔芬片,NULL,NULL,NULL,NULL,WAA,TMXFP(16,10,10,mg,瓶,72,NULL,瓶,NULL,片,NULL,0,72,NULL,甲,157,10,mg,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,10mg/片*60片/瓶,片剂,1,0,1,西药房,NULL,NULL,1,NULL,NULL,1,口服,1,0,60,西药房,江苏扬子江,NULL,1,60,45,XL02BAT003A001010101749
2985,苯溴马隆片,NULL,NULL,NULL,NULL,ULT,BXMLP(17,50,50,mg,盒,15.9,NULL,盒,NULL,片,NULL,0,15.9,NULL,乙,1032,50,mg,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,50mg/片*10片/盒,片剂,1,0,1,西药房,NULL,NULL,1,NULL,NULL,1,口服,1,0,10,西药房,常州康普药业有限公司,NULL,1,10,238,XM04ABB077A001010101375
3037,乳酸钠林格注射液（塑瓶）,NULL,NULL,NULL,NULL,ESQ,RSNLGZYS,500,500,ml,瓶,6.9,NULL,瓶,NULL,瓶,NULL,0,6.9,NULL,甲,2780,500,ml,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,500ml/瓶,注射剂,1,0,1,西药房,NULL,NULL,1,NULL,NULL,3,静滴,1,0,1,西药房,山东齐都药业有限公司,NULL,1,1,36,XB05BBR057B002010504145
3081,炔雌醇环丙孕酮片,NULL,NULL,NULL,NULL,DL-35T(F,QCCHBYTP,2,2,mg,盒,47.95,NULL,盒,NULL,片,NULL,0,47.95,NULL,乙,708,2,mg,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,2mg/片*21片/盒,片剂,1,0,1,西药房,NULL,NULL,6,NULL,NULL,1,口服,1,0,21,西药房,拜耳医药保健有限公司广州分公司,NULL,1,21,72,XG03EBQ136A001010178271
